name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Vitamin B1 (Thiamine Mononitrate),,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vitamin B2 (Riboflavin),,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vitamin B3 (Niacinamide),,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vitamin B5 (Calcium Pantothenate),,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vitamin B6 (Pyridoxine HCl),,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vitamin B12 (Cyanocobalamin),,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Folic Acid,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Biotin,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Choline Bitartrate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Inositol,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ferrous Sulfate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ferrous Fumarate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ferric Orthophosphate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Zinc Oxide,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Zinc Sulfate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Magnesium Oxide,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Phosphate Tribasic,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Lactate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Potassium Iodide,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Iodide,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Copper Gluconate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Manganese Sulfate,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Selenite,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Chromium Chloride,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Molybdenum Trioxide,,Fortification,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Fortified cereals; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chicken Breast,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mechanically Separated Chicken,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Beef,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pork,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Turkey,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Bacon,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ham,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pepperoni,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Salami,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sausage,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chicken Skin,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Beef Fat,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pork Fat,,Meat,Approved,Moderate,Processed/ red meats linked to higher health risk when overconsumed,None,non‑vegan,High GHG footprint,B,Approved in many jurisdictions,Sandwiches; pizzas; burgers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tuna,,Seafood,Approved,Low,Allergen risk,Fish,non‑vegan,Overfishing concerns,A,Approved in many jurisdictions,Sauces; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,Fish allergy
Salmon,,Seafood,Approved,Low,Allergen risk,Fish,non‑vegan,Overfishing concerns,A,Approved in many jurisdictions,Sauces; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,Fish allergy
Shrimp,,Seafood,Approved,Low,Allergen risk,Fish,non‑vegan,Overfishing concerns,A,Approved in many jurisdictions,Sauces; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,Fish allergy
Crab Extract,,Seafood,Approved,Low,Allergen risk,Fish,non‑vegan,Overfishing concerns,A,Approved in many jurisdictions,Sauces; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,Fish allergy
Anchovy,,Seafood,Approved,Low,Allergen risk,Fish,non‑vegan,Overfishing concerns,A,Approved in many jurisdictions,Sauces; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,Fish allergy
Fish Gelatin,,Seafood,Approved,Low,Allergen risk,Fish,non‑vegan,Overfishing concerns,A,Approved in many jurisdictions,Sauces; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,Fish allergy
Fish Oil,,Seafood,Approved,Low,Allergen risk,Fish,non‑vegan,Overfishing concerns,A,Approved in many jurisdictions,Sauces; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,Fish allergy
Peanuts,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Peanut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Almonds,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cashews,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hazelnuts,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Walnuts,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pistachios,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pecans,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Brazil Nuts,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Macadamia Nuts,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Tree nut,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sesame Seeds,,Allergen Source,Approved,Low,Allergen for sensitive individuals,Sesame,vegetarian,Agricultural footprint,A,Approved with labeling,Inclusions; toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Eggs,,Egg/Dairy,Approved,Low,—,Eggs,vegetarian,Low direct impact,A,Approved in many jurisdictions,Bakery; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,Egg allergy
Egg Whites,,Egg/Dairy,Approved,Low,—,Eggs,vegetarian,Low direct impact,A,Approved in many jurisdictions,Bakery; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,Egg allergy
Egg Yolks,,Egg/Dairy,Approved,Low,—,Eggs,vegetarian,Low direct impact,A,Approved in many jurisdictions,Bakery; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,Egg allergy
Whole Egg Powder,,Egg/Dairy,Approved,Low,—,Eggs,vegetarian,Low direct impact,A,Approved in many jurisdictions,Bakery; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,Egg allergy
Oats,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Barley,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Rye,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Wheat,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Corn,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Rice,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sorghum,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Millet,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Quinoa,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Amaranth,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Buckwheat Groats,,Grain,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Cereals; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Chloride,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; canned foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Alum (Potassium Aluminum Sulfate),,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; canned foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Chloride,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; canned foods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Vinegar,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Pickles; canned foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vinegar Powder,,Preservative,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Clean‑label preservation,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cultured Dextrose,,Preservative,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Clean‑label preservation,FDA; EFSA; USDA; PubChem,2025-08-20,None
Fermented Wheat Flour,,Preservative,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Clean‑label preservation,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Vanilla),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Vanilla),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vanilla Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Chocolate),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Chocolate),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chocolate Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Strawberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Strawberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Strawberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Raspberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Raspberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Raspberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Blueberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Blueberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Blueberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Blackberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Blackberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Blackberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cherry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Cherry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cherry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Grape),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Grape),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Grape Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Apple),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Apple),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Apple Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Pear),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Pear),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pear Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Peach),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Peach),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Peach Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Apricot),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Apricot),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Apricot Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Plum),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Plum),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Plum Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Pineapple),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Pineapple),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pineapple Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Mango),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Mango),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mango Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Passionfruit),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Passionfruit),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Passionfruit Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Guava),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Guava),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Guava Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Lychee),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Lychee),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lychee Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Coconut),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Coconut),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Coconut Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Banana),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Banana),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Banana Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Orange),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Orange),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Orange Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Lemon),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Lemon),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lemon Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Lime),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Lime),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lime Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
